Feature	Lasso	GradientBoost	RandomForest	Ridge	Sum
iso_code	1	1	1	1	4
continent	1	1	1	1	4
total_deaths	1	1	1	1	4
new_deaths	0	0	0	0	0
new_deaths_smoothed	1	1	1	1	4
total_deaths_per_million	1	1	1	1	4
new_deaths_per_million	0	0	0	0	0
new_deaths_smoothed_per_million	1	1	1	1	4
reproduction_rate	1	1	1	1	4
tests_units	1	1	1	1	4
new_vaccinations_smoothed	0	1	1	1	3
new_vaccinations_smoothed_per_million	1	1	1	1	4
new_people_vaccinated_smoothed	1	1	1	1	4
new_people_vaccinated_smoothed_per_hundred	1	1	1	1	4
stringency_index	1	1	1	1	4
population_density	1	1	1	1	4
median_age	1	0	1	1	3
aged_65_older	0	1	1	1	3
aged_70_older	1	1	1	1	4
gdp_per_capita	1	1	1	1	4
extreme_poverty	1	1	1	1	4
cardiovasc_death_rate	1	1	1	1	4
diabetes_prevalence	1	1	1	1	4
female_smokers	0	1	1	1	3
male_smokers	1	1	1	1	4
hospital_beds_per_thousand	1	1	1	1	4
life_expectancy	0	1	1	1	3
human_development_index	0	1	1	1	3
population	1	1	1	1	4
total_cases_change_7	1	1	1	1	4
year	1	1	1	1	4
month	1	1	1	1	4
week	1	1	1	1	4
day	0	0	1	1	2
dayofweek	0	1	1	1	3
